title,video_link,views,date_time,img_link
A Journey from NOKIA to PAYPAL | Ft. Palak Awasthi | GeeksforGeeks,/watch?v=6UUTPA0l748,1.2K views,2 days ago,"data:image/gif;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mN8XA8AAksBZG7LpHYAAAAASUVORK5CYII="
Make Best Team For ICC Cricket World 2023 | Practice Problem | GeeksforGeeks,/watch?v=ItY3minkI3o,365 views,4 days ago,https://i.ytimg.com/vi/ItY3minkI3o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9nkfjqTfg62Jb2UImMqiFFMYAFw
Interview Strategies for Freshers | GeeksforGeeks,/watch?v=tmg6d3T_T6Q,407 views,4 days ago,https://i.ytimg.com/vi/tmg6d3T_T6Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqlHlrDk1QeOGRrAr-tkrWxPFjSQ
🏆 GeeksforGeeks Hack-A-Thon: World-cup-Wizard Edition 🌟,/watch?v=2mW7tclj6mc,308 views,5 days ago,https://i.ytimg.com/vi/2mW7tclj6mc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbLdvgAvCnYUvN6nR5cbXn8OFzYw
Ace your DevOps interview | GeeksforGeeks,/watch?v=I-J28pjrTc8,9.4K views,12 days ago,https://i.ytimg.com/vi/I-J28pjrTc8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDP1_JuHf5zPo040tvtT14vNXRakQ
How to Get Free Google Cloud Qwiklabs Credits | Google Cloud Bootcamp | GeeksforGeeks,/watch?v=lf-eQH28eAw,3.5K views,3 weeks ago,https://i.ytimg.com/vi/lf-eQH28eAw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBxVbCae632Vnv3ZlTEqMKm5YVfVw
"GeeksforGeeks Community – Connect, Ask, Learn & Grow with Tech Geeks",/watch?v=dMX0Bel8V94,752 views,3 weeks ago,https://i.ytimg.com/vi/dMX0Bel8V94/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGTgwnexKY-IBZT7hFzDCUJJkYmA
Become a SDET Expert with GeeksforGeeks,/watch?v=PLxzWN08w54,11K views,4 weeks ago,https://i.ytimg.com/vi/PLxzWN08w54/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjrFPxKo-1YJAn-N0JaMgmqURS8Q
Geeks Premier League 2023 | India's Biggest Content Writing Event | GeeksforGeeks,/watch?v=e0DLnBRZRj0,1.7K views,1 month ago,https://i.ytimg.com/vi/e0DLnBRZRj0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtqtfwFiEK25XfdmlwCuTHb1HUYg
Happy Engineer's Day To You All!,/watch?v=g4M-zfzsqBg,2.1K views,1 month ago,https://i.ytimg.com/vi/g4M-zfzsqBg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMkKgzEY1EXRfemUxDxLrZaAbWUw
Decoding the Modern Job Landscape | An HR Perspective | GeeksforGeeks,/watch?v=w3ucO_5NHCU,668 views,1 month ago,https://i.ytimg.com/vi/w3ucO_5NHCU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyhciganWNX9WwrMqh9xMfyWP-4g
Unlock GATE 2024 | GeeksforGeeks,/watch?v=4TVPoMDU0Ts,22K views,1 month ago,https://i.ytimg.com/vi/4TVPoMDU0Ts/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQdEZEdfpWlMAA-31FJ8RmYbyuUw
We Stole This For You,/watch?v=eVV0MO_IBnw,7.2K views,1 month ago,https://i.ytimg.com/vi/eVV0MO_IBnw/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIFEoSzAP&rs=AOn4CLABWmnUjPbeTnMkesHpU30-mDRAyQ
Career Advancement Test For EWS & PWD Candidates | Student Grant of INR 10 Lakh | GeeksforGeeks,/watch?v=DpCJ74xg93E,6.1K views,1 month ago,https://i.ytimg.com/vi/DpCJ74xg93E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUlme8ipaOigZdNBTDk4mrKm93eg
GfG Mobile App | Android & iOS | Download for Free,/watch?v=Rsh8xd3aIqw,704 views,1 month ago,https://i.ytimg.com/vi/Rsh8xd3aIqw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCI_mkHKCOgP6_Tih1o3-q34SFF5w
🔒 Securing Your Data in the Cloud: GCP's Top SECURITY Features | GeesforGeeks,/watch?v=rwLBsyQ4rO8,421 views,1 month ago,https://i.ytimg.com/vi/rwLBsyQ4rO8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4eic2B7ZwU1Mm2MyHJskg76X76A
GATE CSE Offline Classes | GATE 2024 Crash Course | Delhi NCR | GeeksforGeeks,/watch?v=a9xiYYqbaHg,18K views,1 month ago,https://i.ytimg.com/vi/a9xiYYqbaHg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeu7x6WApgDdJDRKRnwWBvKwD36Q
How to Build a To-Do Application in Flutter | GeeksforGeeks,/watch?v=fNuURHd7POk,829 views,2 months ago,https://i.ytimg.com/vi/fNuURHd7POk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMMpKl5xWw7ptXJM13kQzzsVS4sA
How to Use Google Sign-in With Firebase in Flutter | GeeksforGeeks,/watch?v=MRb_2Kg0nRI,2.1K views,2 months ago,https://i.ytimg.com/vi/MRb_2Kg0nRI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRYfdPMHBosynIyH-krLW42ipl2w
Machine Learning on GCP | Harnessing the Power of AI | GeeksforGeeks,/watch?v=KSTX28pUSeI,515 views,2 months ago,https://i.ytimg.com/vi/KSTX28pUSeI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBlR-mWHdHgMbVcR4dAH9JDpWI-cQ
"GRAPH Data Structures: Exploring Types, Implementation, and Algorithms | GeeksforGeeks",/watch?v=gTsoyORhqkg,1.2K views,2 months ago,https://i.ytimg.com/vi/gTsoyORhqkg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmh9hsETlZ6y6BXrfjvY88h6sPNg
Handling Missing Values | Machine Learning | GeeksforGeeks,/watch?v=yFJ2_phRslY,605 views,2 months ago,https://i.ytimg.com/vi/yFJ2_phRslY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_HspX804uIJOCHQQZmvvm7VqMew
Security Risks of Cloud Computing | GeeksforGeeks,/watch?v=6lxKkdyvS6M,568 views,2 months ago,https://i.ytimg.com/vi/6lxKkdyvS6M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7SJwZgQ5dO2Dh1xkSpNZzboLvGQ
DSA Classroom Program with Placement Assistance | Now in Noida & Gurugram | GeeksforGeeks,/watch?v=ACZoeLwm_fE,30K views,2 months ago,https://i.ytimg.com/vi/ACZoeLwm_fE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_4w1lwQsMpjdVVqBWAfLsE6G_yw
Free Cloud Bootcamp Sponsored by Google for Developers | GeeksforGeeks,/watch?v=uXpOqQEw7Pc,2.1K views,2 months ago,https://i.ytimg.com/vi/uXpOqQEw7Pc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcspAjUSlundJXeNduxfxIU-x6cw
All Your Queries Answered | DSA to Development Program | GeeksforGeeks,/watch?v=kHBzDvj3D2U,1.2K views,2 months ago,https://i.ytimg.com/vi/kHBzDvj3D2U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFVH9oMomkpIy-8S3XIjbIvuU0Lg
10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,/watch?v=2QDMIZGeIC4,844 views,2 months ago,https://i.ytimg.com/vi/2QDMIZGeIC4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCF6ErOV3wQvsZnHXjq9b3KPmBW0g
Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,/watch?v=1ECMlxC6jbs,612 views,2 months ago,https://i.ytimg.com/vi/1ECMlxC6jbs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXj9YiNAcUXeNwf7ascCq9ru2rFw
Master System Design | GeeksforGeeks,/watch?v=vjWLZYeqiN8,37K views,2 months ago,https://i.ytimg.com/vi/vjWLZYeqiN8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7dbBE53hAmfPF-1K4CokW20-tLQ
"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",/watch?v=6e0v_NhsFMQ,539 views,2 months ago,https://i.ytimg.com/vi/6e0v_NhsFMQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOjynZGsneFzNXwJ2ShOsV1vGfYQ
Data Analysis Masterclass | Geek-A-Thon | GeeksforGeeks,/watch?v=-7Emxpn8DXc,762 views,2 months ago,https://i.ytimg.com/vi/-7Emxpn8DXc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwKUmJiwOdZNWD-wmxTvy6wzs79Q
GeeksforGeeks Offline Classroom Program | Now Open In Noida & Gurgaon,/watch?v=2bPiFkt3Nmg,41K views,2 months ago,https://i.ytimg.com/vi/2bPiFkt3Nmg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDA4jZl6hBfHbYema-dykBSRm1SPQ
Kickstart your DevOps Career | GeeksforGeeks,/watch?v=8gwwlpBwr_s,57K views,3 months ago,https://i.ytimg.com/vi/8gwwlpBwr_s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8aOgOhLd0DtDxOW3kPd11W4Opxg
First Ever KBC at our Offline Classes | GeeksforGeeks,/watch?v=chYg2EAKW2A,670 views,3 months ago,https://i.ytimg.com/vi/chYg2EAKW2A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1uQzWVEuMq9rkOoBELuFlpPzj4w
Mega Job-a-thon for Working Professionals | 21st July | GeeksforGeeks,/watch?v=CyOh-WDfUvs,1.2K views,3 months ago,https://i.ytimg.com/vi/CyOh-WDfUvs/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARguIC4ofzAP&rs=AOn4CLC-enfUjlP5B3aavdNg0G_kYyJqdw
Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,/watch?v=GDeoPHRqb5w,624 views,3 months ago,https://i.ytimg.com/vi/GDeoPHRqb5w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDP9nXBHCNc717_py2D3luXQsAohw
